GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF2LE001,NAME_M,AF2LM001
"G1900810","2012-2016",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Iowa",11006,"Hancock County, Iowa",0
"G1900830","2012-2016",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hardin County, Iowa",17324,"Hardin County, Iowa",0
"G1900850","2012-2016",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrison County, Iowa",14335,"Harrison County, Iowa",0
"G1900870","2012-2016",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Iowa",19941,"Henry County, Iowa",0
"G1900890","2012-2016",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Iowa",9430,"Howard County, Iowa",0
"G1900910","2012-2016",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Humboldt County, Iowa",9607,"Humboldt County, Iowa",0
"G1900930","2012-2016",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ida County, Iowa",7041,"Ida County, Iowa",0
"G1900950","2012-2016",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa County, Iowa",16326,"Iowa County, Iowa",0
"G1900970","2012-2016",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Iowa",19529,"Jackson County, Iowa",0
"G1900990","2012-2016",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jasper County, Iowa",36715,"Jasper County, Iowa",0
"G1901010","2012-2016",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Iowa",17662,"Jefferson County, Iowa",0
"G1901030","2012-2016",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Iowa",142006,"Johnson County, Iowa",0
"G1901050","2012-2016",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jones County, Iowa",20481,"Jones County, Iowa",0
"G1901070","2012-2016",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Keokuk County, Iowa",10234,"Keokuk County, Iowa",0
"G1901090","2012-2016",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kossuth County, Iowa",15226,"Kossuth County, Iowa",0
"G1901110","2012-2016",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Iowa",35172,"Lee County, Iowa",0
"G1901130","2012-2016",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Linn County, Iowa",218076,"Linn County, Iowa",0
"G1901150","2012-2016",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisa County, Iowa",11251,"Louisa County, Iowa",0
"G1901170","2012-2016",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lucas County, Iowa",8700,"Lucas County, Iowa",0
"G1901190","2012-2016",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Iowa",11730,"Lyon County, Iowa",0
"G1901210","2012-2016",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Iowa",15661,"Madison County, Iowa",0
"G1901230","2012-2016",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mahaska County, Iowa",22324,"Mahaska County, Iowa",0
"G1901250","2012-2016",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Iowa",33197,"Marion County, Iowa",0
"G1901270","2012-2016",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Iowa",40735,"Marshall County, Iowa",0
"G1901290","2012-2016",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mills County, Iowa",14841,"Mills County, Iowa",0
"G1901310","2012-2016",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mitchell County, Iowa",10757,"Mitchell County, Iowa",0
"G1901330","2012-2016",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monona County, Iowa",9013,"Monona County, Iowa",0
"G1901350","2012-2016",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Iowa",7964,"Monroe County, Iowa",0
"G1901370","2012-2016",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Iowa",10380,"Montgomery County, Iowa",0
"G1901390","2012-2016",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Muscatine County, Iowa",42949,"Muscatine County, Iowa",0
"G1901410","2012-2016",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O'Brien County, Iowa",14055,"O'Brien County, Iowa",0
"G1901430","2012-2016",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Osceola County, Iowa",6154,"Osceola County, Iowa",0
"G1901450","2012-2016",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Page County, Iowa",15552,"Page County, Iowa",0
"G1901470","2012-2016",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palo Alto County, Iowa",9155,"Palo Alto County, Iowa",0
"G1901490","2012-2016",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth County, Iowa",24972,"Plymouth County, Iowa",0
"G1901510","2012-2016",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pocahontas County, Iowa",7061,"Pocahontas County, Iowa",0
"G1901530","2012-2016",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Polk County, Iowa",459159,"Polk County, Iowa",0
"G1901550","2012-2016",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pottawattamie County, Iowa",93198,"Pottawattamie County, Iowa",0
"G1901570","2012-2016",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poweshiek County, Iowa",18622,"Poweshiek County, Iowa",0
"G1901590","2012-2016",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ringgold County, Iowa",5054,"Ringgold County, Iowa",0
"G1901610","2012-2016",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sac County, Iowa",10034,"Sac County, Iowa",0
"G1901630","2012-2016",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Iowa",171116,"Scott County, Iowa",0
"G1901650","2012-2016",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Iowa",11944,"Shelby County, Iowa",0
"G1901670","2012-2016",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sioux County, Iowa",34621,"Sioux County, Iowa",0
"G1901690","2012-2016",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Story County, Iowa",94834,"Story County, Iowa",0
"G1901710","2012-2016",,,"Iowa","19","Tama County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tama County, Iowa",17423,"Tama County, Iowa",0
"G1901730","2012-2016",,,"Iowa","19","Taylor County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taylor County, Iowa",6209,"Taylor County, Iowa",0
"G1901750","2012-2016",,,"Iowa","19","Union County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Union County, Iowa",12539,"Union County, Iowa",0
"G1901770","2012-2016",,,"Iowa","19","Van Buren County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Van Buren County, Iowa",7380,"Van Buren County, Iowa",0
"G1901790","2012-2016",,,"Iowa","19","Wapello County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wapello County, Iowa",35242,"Wapello County, Iowa",0
"G1901810","2012-2016",,,"Iowa","19","Warren County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, Iowa",48170,"Warren County, Iowa",0
"G1901830","2012-2016",,,"Iowa","19","Washington County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Iowa",22115,"Washington County, Iowa",0
"G1901850","2012-2016",,,"Iowa","19","Wayne County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Iowa",6403,"Wayne County, Iowa",0
"G1901870","2012-2016",,,"Iowa","19","Webster County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Webster County, Iowa",37050,"Webster County, Iowa",0
"G1901890","2012-2016",,,"Iowa","19","Winnebago County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winnebago County, Iowa",10580,"Winnebago County, Iowa",0
"G1901910","2012-2016",,,"Iowa","19","Winneshiek County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winneshiek County, Iowa",20789,"Winneshiek County, Iowa",0
"G1901930","2012-2016",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury County, Iowa",102426,"Woodbury County, Iowa",0
"G1901950","2012-2016",,,"Iowa","19","Worth County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worth County, Iowa",7562,"Worth County, Iowa",0
"G1901970","2012-2016",,,"Iowa","19","Wright County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wright County, Iowa",12891,"Wright County, Iowa",0
"G2000010","2012-2016",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allen County, Kansas",12951,"Allen County, Kansas",0
"G2000030","2012-2016",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson County, Kansas",7858,"Anderson County, Kansas",0
"G2000050","2012-2016",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Atchison County, Kansas",16557,"Atchison County, Kansas",0
"G2000070","2012-2016",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barber County, Kansas",4831,"Barber County, Kansas",165
"G2000090","2012-2016",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barton County, Kansas",27214,"Barton County, Kansas",0
"G2000110","2012-2016",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bourbon County, Kansas",14751,"Bourbon County, Kansas",0
"G2000130","2012-2016",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Kansas",9810,"Brown County, Kansas",0
"G2000150","2012-2016",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Kansas",66264,"Butler County, Kansas",0
"G2000170","2012-2016",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chase County, Kansas",2694,"Chase County, Kansas",0
"G2000190","2012-2016",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chautauqua County, Kansas",3470,"Chautauqua County, Kansas",0
"G2000210","2012-2016",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Kansas",20737,"Cherokee County, Kansas",0
"G2000230","2012-2016",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheyenne County, Kansas",2679,"Cheyenne County, Kansas",0
"G2000250","2012-2016",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Kansas",2131,"Clark County, Kansas",0
"G2000270","2012-2016",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Kansas",8346,"Clay County, Kansas",0
"G2000290","2012-2016",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cloud County, Kansas",9302,"Cloud County, Kansas",0
"G2000310","2012-2016",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffey County, Kansas",8433,"Coffey County, Kansas",0
"G2000330","2012-2016",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comanche County, Kansas",1898,"Comanche County, Kansas",165
"G2000350","2012-2016",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cowley County, Kansas",35977,"Cowley County, Kansas",0
"G2000370","2012-2016",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Kansas",39281,"Crawford County, Kansas",0
"G2000390","2012-2016",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Decatur County, Kansas",2886,"Decatur County, Kansas",0
"G2000410","2012-2016",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dickinson County, Kansas",19384,"Dickinson County, Kansas",0
"G2000430","2012-2016",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Doniphan County, Kansas",7793,"Doniphan County, Kansas",0
"G2000450","2012-2016",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Kansas",116352,"Douglas County, Kansas",0
"G2000470","2012-2016",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edwards County, Kansas",2975,"Edwards County, Kansas",0
"G2000490","2012-2016",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elk County, Kansas",2635,"Elk County, Kansas",0
"G2000510","2012-2016",,,"Kansas","20","Ellis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellis County, Kansas",29032,"Ellis County, Kansas",0
"G2000530","2012-2016",,,"Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellsworth County, Kansas",6375,"Ellsworth County, Kansas",0
"G2000550","2012-2016",,,"Kansas","20","Finney County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finney County, Kansas",36983,"Finney County, Kansas",0
"G2000570","2012-2016",,,"Kansas","20","Ford County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ford County, Kansas",34492,"Ford County, Kansas",0
"G2000590","2012-2016",,,"Kansas","20","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Kansas",25663,"Franklin County, Kansas",0
"G2000610","2012-2016",,,"Kansas","20","Geary County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geary County, Kansas",36818,"Geary County, Kansas",0
"G2000630","2012-2016",,,"Kansas","20","Gove County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gove County, Kansas",2682,"Gove County, Kansas",106
"G2000650","2012-2016",,,"Kansas","20","Graham County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Kansas",2577,"Graham County, Kansas",0
"G2000670","2012-2016",,,"Kansas","20","Grant County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Kansas",7748,"Grant County, Kansas",0
"G2000690","2012-2016",,,"Kansas","20","Gray County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gray County, Kansas",6037,"Gray County, Kansas",0
"G2000710","2012-2016",,,"Kansas","20","Greeley County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeley County, Kansas",1235,"Greeley County, Kansas",97
"G2000730","2012-2016",,,"Kansas","20","Greenwood County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenwood County, Kansas",6304,"Greenwood County, Kansas",0
"G2000750","2012-2016",,,"Kansas","20","Hamilton County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton County, Kansas",2567,"Hamilton County, Kansas",0
"G2000770","2012-2016",,,"Kansas","20","Harper County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harper County, Kansas",5798,"Harper County, Kansas",0
"G2000790","2012-2016",,,"Kansas","20","Harvey County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harvey County, Kansas",34814,"Harvey County, Kansas",0
"G2000810","2012-2016",,,"Kansas","20","Haskell County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haskell County, Kansas",4087,"Haskell County, Kansas",0
"G2000830","2012-2016",,,"Kansas","20","Hodgeman County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hodgeman County, Kansas",1919,"Hodgeman County, Kansas",126
"G2000850","2012-2016",,,"Kansas","20","Jackson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Kansas",13365,"Jackson County, Kansas",0
"G2000870","2012-2016",,,"Kansas","20","Jefferson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Kansas",18880,"Jefferson County, Kansas",0
"G2000890","2012-2016",,,"Kansas","20","Jewell County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jewell County, Kansas",3003,"Jewell County, Kansas",0
"G2000910","2012-2016",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Kansas",572428,"Johnson County, Kansas",0
"G2000930","2012-2016",,,"Kansas","20","Kearny County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kearny County, Kansas",3943,"Kearny County, Kansas",0
"G2000950","2012-2016",,,"Kansas","20","Kingman County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kingman County, Kansas",7697,"Kingman County, Kansas",0
"G2000970","2012-2016",,,"Kansas","20","Kiowa County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kiowa County, Kansas",2520,"Kiowa County, Kansas",0
"G2000990","2012-2016",,,"Kansas","20","Labette County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Labette County, Kansas",20833,"Labette County, Kansas",0
"G2001010","2012-2016",,,"Kansas","20","Lane County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lane County, Kansas",1687,"Lane County, Kansas",106
"G2001030","2012-2016",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leavenworth County, Kansas",78785,"Leavenworth County, Kansas",0
"G2001050","2012-2016",,,"Kansas","20","Lincoln County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Kansas",3134,"Lincoln County, Kansas",0
"G2001070","2012-2016",,,"Kansas","20","Linn County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Linn County, Kansas",9524,"Linn County, Kansas",0
"G2001090","2012-2016",,,"Kansas","20","Logan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan County, Kansas",2800,"Logan County, Kansas",0
"G2001110","2012-2016",,,"Kansas","20","Lyon County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Kansas",33401,"Lyon County, Kansas",0
"G2001130","2012-2016",,,"Kansas","20","McPherson County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McPherson County, Kansas",29164,"McPherson County, Kansas",0
"G2001150","2012-2016",,,"Kansas","20","Marion County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Kansas",12213,"Marion County, Kansas",0
"G2001170","2012-2016",,,"Kansas","20","Marshall County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Kansas",9963,"Marshall County, Kansas",0
"G2001190","2012-2016",,,"Kansas","20","Meade County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meade County, Kansas",4310,"Meade County, Kansas",0
"G2001210","2012-2016",,,"Kansas","20","Miami County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami County, Kansas",32787,"Miami County, Kansas",0
"G2001230","2012-2016",,,"Kansas","20","Mitchell County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mitchell County, Kansas",6299,"Mitchell County, Kansas",0
"G2001250","2012-2016",,,"Kansas","20","Montgomery County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Kansas",33765,"Montgomery County, Kansas",0
"G2001270","2012-2016",,,"Kansas","20","Morris County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morris County, Kansas",5694,"Morris County, Kansas",0
"G2001290","2012-2016",,,"Kansas","20","Morton County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morton County, Kansas",3033,"Morton County, Kansas",0
"G2001310","2012-2016",,,"Kansas","20","Nemaha County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nemaha County, Kansas",10177,"Nemaha County, Kansas",0
"G2001330","2012-2016",,,"Kansas","20","Neosho County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neosho County, Kansas",16358,"Neosho County, Kansas",0
"G2001350","2012-2016",,,"Kansas","20","Ness County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ness County, Kansas",3047,"Ness County, Kansas",0
"G2001370","2012-2016",,,"Kansas","20","Norton County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norton County, Kansas",5558,"Norton County, Kansas",0
"G2001390","2012-2016",,,"Kansas","20","Osage County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Osage County, Kansas",16001,"Osage County, Kansas",0
"G2001410","2012-2016",,,"Kansas","20","Osborne County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Osborne County, Kansas",3746,"Osborne County, Kansas",0
"G2001430","2012-2016",,,"Kansas","20","Ottawa County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ottawa County, Kansas",6004,"Ottawa County, Kansas",0
"G2001450","2012-2016",,,"Kansas","20","Pawnee County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pawnee County, Kansas",6840,"Pawnee County, Kansas",0
"G2001470","2012-2016",,,"Kansas","20","Phillips County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Phillips County, Kansas",5484,"Phillips County, Kansas",0
"G2001490","2012-2016",,,"Kansas","20","Pottawatomie County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pottawatomie County, Kansas",22920,"Pottawatomie County, Kansas",0
"G2001510","2012-2016",,,"Kansas","20","Pratt County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pratt County, Kansas",9729,"Pratt County, Kansas",0
"G2001530","2012-2016",,,"Kansas","20","Rawlins County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rawlins County, Kansas",2557,"Rawlins County, Kansas",0
"G2001550","2012-2016",,,"Kansas","20","Reno County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reno County, Kansas",63803,"Reno County, Kansas",0
"G2001570","2012-2016",,,"Kansas","20","Republic County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Republic County, Kansas",4768,"Republic County, Kansas",0
"G2001590","2012-2016",,,"Kansas","20","Rice County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rice County, Kansas",9949,"Rice County, Kansas",0
"G2001610","2012-2016",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riley County, Kansas",75026,"Riley County, Kansas",0
"G2001630","2012-2016",,,"Kansas","20","Rooks County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rooks County, Kansas",5160,"Rooks County, Kansas",0
"G2001650","2012-2016",,,"Kansas","20","Rush County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rush County, Kansas",3144,"Rush County, Kansas",126
"G2001670","2012-2016",,,"Kansas","20","Russell County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Kansas",6988,"Russell County, Kansas",0
"G2001690","2012-2016",,,"Kansas","20","Saline County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Kansas",55547,"Saline County, Kansas",0
"G2001710","2012-2016",,,"Kansas","20","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Kansas",4958,"Scott County, Kansas",0
"G2001730","2012-2016",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sedgwick County, Kansas",508221,"Sedgwick County, Kansas",0
"G2001750","2012-2016",,,"Kansas","20","Seward County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seward County, Kansas",23185,"Seward County, Kansas",0
"G2001770","2012-2016",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shawnee County, Kansas",178567,"Shawnee County, Kansas",0
"G2001790","2012-2016",,,"Kansas","20","Sheridan County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheridan County, Kansas",2522,"Sheridan County, Kansas",0
"G2001810","2012-2016",,,"Kansas","20","Sherman County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sherman County, Kansas",6038,"Sherman County, Kansas",0
"G2001830","2012-2016",,,"Kansas","20","Smith County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smith County, Kansas",3701,"Smith County, Kansas",0
"G2001850","2012-2016",,,"Kansas","20","Stafford County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stafford County, Kansas",4284,"Stafford County, Kansas",0
"G2001870","2012-2016",,,"Kansas","20","Stanton County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stanton County, Kansas",2115,"Stanton County, Kansas",0
"G2001890","2012-2016",,,"Kansas","20","Stevens County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stevens County, Kansas",5738,"Stevens County, Kansas",0
"G2001910","2012-2016",,,"Kansas","20","Sumner County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumner County, Kansas",23509,"Sumner County, Kansas",0
"G2001930","2012-2016",,,"Kansas","20","Thomas County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thomas County, Kansas",7909,"Thomas County, Kansas",0
"G2001950","2012-2016",,,"Kansas","20","Trego County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trego County, Kansas",2927,"Trego County, Kansas",0
"G2001970","2012-2016",,,"Kansas","20","Wabaunsee County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wabaunsee County, Kansas",6960,"Wabaunsee County, Kansas",0
